Week,DayWeek,Day,Month,Hour,Transaction_Type,Units,Amount
1,3,2,1,9,Card,3,54.0
1,3,2,1,10,Cash,7,-17.8
1,3,2,1,10,Card,7,41.99
1,3,2,1,11,Card,20,412.5
1,3,2,1,12,Cash,1,-18.0
1,3,2,1,12,Card,1,-5.0
1,3,2,1,12,Card,15,118.5
1,3,2,1,13,Cash,90,-94.92
1,3,2,1,13,Card,28,423.5
1,3,2,1,14,Cash,34,-95.39
1,3,2,1,14,Card,5,-16.9
1,3,2,1,14,Card,19,452.1
1,3,2,1,15,Cash,5,-110.4
1,3,2,1,15,Card,11,-309.9
1,3,2,1,15,Card,43,593.5
1,3,2,1,16,Cash,26,-377.12
1,3,2,1,16,Card,18,77.5
1,3,2,1,17,Cash,2,-19.5
1,3,2,1,17,Card,2,-31.0
1,3,2,1,17,Card,3,58.0
1,4,3,1,8,Card,2,5.0
1,4,3,1,9,Cash,2,-51.0
1,4,3,1,9,Card,5,-21.3
1,4,3,1,9,Card,6,299.0
1,4,3,1,10,Cash,15,-36.4
1,4,3,1,10,Card,2,-3.4
1,4,3,1,10,Card,6,17.5
1,4,3,1,11,Card,33,-112.8
1,4,3,1,11,Card,13,238.0
1,4,3,1,12,Card,29,852.5
1,4,3,1,13,Cash,14,-551.11
1,4,3,1,13,Card,44,-8.44
1,4,3,1,13,Card,16,151.6
1,4,3,1,14,Cash,6,-15.0
1,4,3,1,14,Card,12,454.5
1,4,3,1,15,Cash,12,-58.41
1,4,3,1,15,Card,9,32.6
1,4,3,1,16,Cash,10,-48.9
1,4,3,1,16,Card,12,417.5
1,4,3,1,17,Card,1,-23.0
1,4,3,1,17,Card,4,328.0
1,5,4,1,8,Card,3,44.2
1,5,4,1,9,Card,7,103.05
1,5,4,1,10,Card,6,4.5
1,5,4,1,11,Cash,1,-2.0
1,5,4,1,11,Card,6,21.25
1,5,4,1,12,Cash,11,-32.95
1,5,4,1,12,Card,1,-23.0
1,5,4,1,12,Card,19,211.0
1,5,4,1,13,Card,2,17.0
1,5,4,1,14,Cash,1,-17.0
1,5,4,1,14,Card,3,-14.0
1,5,4,1,14,Card,13,112.99
1,5,4,1,15,Card,17,183.24
1,5,4,1,16,Cash,12,-70.8
1,5,4,1,16,Card,3,-3.5
1,5,4,1,16,Card,9,188.5
1,5,4,1,17,Card,22,58.85
1,6,5,1,8,Card,7,51.0
1,6,5,1,9,Card,4,-18.0
1,6,5,1,9,Card,11,277.0
1,6,5,1,10,Card,6,-17.4
1,6,5,1,10,Card,3,64.0
1,6,5,1,11,Card,39,-36.27
1,6,5,1,11,Card,12,122.0
1,6,5,1,12,Cash,11,-83.1
1,6,5,1,12,Card,23,215.5
1,6,5,1,13,Cash,2,-11.0
1,6,5,1,13,Card,5,-50.0
1,6,5,1,13,Card,18,144.25
1,6,5,1,14,Card,1,-10.0
1,6,5,1,14,Card,27,425.0
1,6,5,1,15,Card,61,-59.81
1,6,5,1,15,Card,25,420.0
1,6,5,1,16,Cash,1,-5.0
1,6,5,1,16,Card,9,133.5
1,6,5,1,17,Cash,1,-14.0
1,6,5,1,17,Card,11,36.0
1,6,5,1,18,Card,5,37.82
1,7,6,1,8,Card,4,190.0
1,7,6,1,9,Cash,8,-262.0
1,7,6,1,9,Card,2,-105.0
1,7,6,1,9,Card,5,103.5
1,7,6,1,10,Cash,184,-170.87
1,7,6,1,10,Card,11,176.0
1,7,6,1,11,Cash,23,-116.31
1,7,6,1,11,Card,29,-38.15
1,7,6,1,11,Card,26,165.5
1,7,6,1,12,Cash,11,-47.3
1,7,6,1,12,Card,1,-50.0
1,7,6,1,12,Card,17,318.5
1,7,6,1,13,Cash,2,-134.0
1,7,6,1,13,Card,5,-40.5
1,7,6,1,13,Card,21,156.0
1,7,6,1,14,Card,21,-169.62
1,7,6,1,14,Card,13,81.0
1,7,6,1,15,Cash,2,-176.0
1,7,6,1,15,Card,79,-256.9
1,7,6,1,15,Card,29,670.25
1,7,6,1,16,Card,7,308.25
1,7,6,1,17,Cash,99,-306.7
1,7,6,1,17,Card,3,-24.0
1,7,6,1,17,Card,10,39.0
2,1,7,1,9,Card,36,-83.6
2,1,7,1,10,Cash,1,-113.0
2,1,7,1,10,Card,1,-9.0
2,1,7,1,10,Card,10,14.0
2,1,7,1,11,Cash,7,-133.0
2,1,7,1,11,Card,1,-52.0
2,1,7,1,11,Card,15,316.5
2,1,7,1,12,Card,1,2.5
2,1,7,1,13,Card,1,-6.0
2,1,7,1,13,Card,7,234.5
2,1,7,1,14,Card,4,62.99
2,1,7,1,15,Card,10,-69.0
2,1,7,1,15,Card,11,145.0
2,1,7,1,16,Cash,2,-79.0
2,1,7,1,16,Card,5,216.0
2,2,8,1,8,Card,1,3.5
2,2,8,1,9,Card,11,-18.61
2,2,8,1,9,Card,24,183.0
2,2,8,1,10,Card,4,7.0
2,2,8,1,11,Cash,5,-154.0
2,2,8,1,11,Card,9,68.0
2,2,8,1,12,Cash,14,-151.6
2,2,8,1,12,Card,2,8.0
2,2,8,1,13,Cash,6,-32.0
2,2,8,1,13,Card,6,43.0
2,2,8,1,14,Card,8,38.25
2,2,8,1,15,Cash,79,-89.44
2,2,8,1,15,Card,5,74.5
2,2,8,1,16,Card,1,-25.0
2,2,8,1,16,Card,10,89.0
2,2,8,1,17,Cash,3,-220.0
2,2,8,1,17,Card,1,1.0
2,3,9,1,8,Card,8,7.5
2,3,9,1,9,Card,6,-8.2
2,3,9,1,9,Card,6,41.99
2,3,9,1,10,Card,8,54.99
2,3,9,1,11,Cash,1,-4.0
2,3,9,1,11,Card,20,298.5
2,3,9,1,12,Cash,9,-13.74
2,3,9,1,12,Card,20,-11.87
2,3,9,1,12,Card,12,95.5
2,3,9,1,13,Cash,2,-20.0
2,3,9,1,13,Card,1,-35.0
2,3,9,1,13,Card,17,107.5
2,3,9,1,14,Cash,2,-100.0
2,3,9,1,14,Card,19,308.5
2,3,9,1,15,Cash,1,-14.0
2,3,9,1,15,Card,15,105.5
2,3,9,1,16,Cash,4,-16.0
2,3,9,1,16,Card,11,52.0
2,3,9,1,17,Card,28,-5.12
2,3,9,1,17,Card,9,264.75
2,4,10,1,8,Card,1,2.0
2,4,10,1,9,Cash,1,-4.0
2,4,10,1,9,Card,5,16.0
2,4,10,1,10,Cash,1,-105.0
2,4,10,1,10,Card,2,-53.0
2,4,10,1,10,Card,7,8.5
2,4,10,1,11,Cash,3,-33.0
2,4,10,1,11,Card,18,92.0
2,4,10,1,12,Cash,32,-133.97
2,4,10,1,12,Card,28,178.0
2,4,10,1,13,Cash,6,-37.5
2,4,10,1,13,Card,15,75.5
2,4,10,1,14,Cash,8,-14.92
2,4,10,1,14,Card,1,-26.0
2,4,10,1,14,Card,12,68.0
2,4,10,1,15,Cash,19,-182.2
2,4,10,1,15,Card,9,19.0
2,4,10,1,16,Cash,2,-26.5
2,4,10,1,16,Card,12,366.5
2,4,10,1,17,Cash,4,-68.0
2,4,10,1,17,Card,9,176.0
2,4,10,1,18,Card,1,0.5
2,5,11,1,8,Card,1,55.0
2,5,11,1,9,Cash,2,-20.0
2,5,11,1,9,Card,4,-5.2
2,5,11,1,9,Card,4,9.5
2,5,11,1,10,Cash,1,-11.0
2,5,11,1,10,Card,6,46.5
2,5,11,1,11,Cash,47,-42.54
2,5,11,1,11,Card,13,14.5
2,5,11,1,12,Cash,6,-137.0
2,5,11,1,12,Card,17,107.49
2,5,11,1,13,Cash,1,-85.0
2,5,11,1,13,Card,30,579.2
2,5,11,1,14,Cash,1,-21.0
2,5,11,1,14,Card,5,-33.9
2,5,11,1,14,Card,7,62.25
2,5,11,1,15,Cash,6,-241.0
2,5,11,1,15,Card,7,37.5
2,5,11,1,16,Cash,4,-166.0
2,5,11,1,16,Card,1,-10.0
2,5,11,1,16,Card,17,110.49
2,5,11,1,17,Cash,5,-258.0
2,5,11,1,17,Card,2,1.0
2,6,12,1,8,Card,2,6.0
2,6,12,1,9,Cash,12,-101.2
2,6,12,1,9,Card,6,63.59
2,6,12,1,10,Cash,1,-10.0
2,6,12,1,10,Card,2,-6.0
2,6,12,1,10,Card,13,141.5
2,6,12,1,11,Cash,44,-251.72
2,6,12,1,11,Card,13,184.85
2,6,12,1,12,Cash,4,-25.0
2,6,12,1,12,Card,4,-14.6
2,6,12,1,12,Card,19,155.0
2,6,12,1,13,Cash,1,-4.0
2,6,12,1,13,Card,4,54.5
2,6,12,1,14,Cash,19,-395.05
2,6,12,1,14,Card,5,68.0
2,6,12,1,15,Cash,23,-493.63
2,6,12,1,15,Card,1,-10.0
2,6,12,1,15,Card,15,41.0
2,6,12,1,16,Cash,5,-40.02
2,6,12,1,16,Card,1,-120.0
2,6,12,1,16,Card,40,496.9
2,6,12,1,17,Cash,6,-217.0
2,6,12,1,17,Card,15,24.75
2,6,12,1,18,Card,2,2.5
2,7,13,1,9,Cash,5,-23.6
2,7,13,1,9,Card,10,43.5
2,7,13,1,10,Cash,7,-17.41
2,7,13,1,10,Card,1,-120.0
2,7,13,1,10,Card,9,186.25
2,7,13,1,11,Cash,5,-335.7
2,7,13,1,11,Card,8,144.75
2,7,13,1,12,Cash,31,-166.38
2,7,13,1,12,Card,46,-48.43
2,7,13,1,12,Card,22,116.49
2,7,13,1,13,Cash,77,-171.33
2,7,13,1,13,Card,3,-6.8
2,7,13,1,13,Card,15,162.0
2,7,13,1,14,Cash,5,-212.0
2,7,13,1,14,Card,1,-4.0
2,7,13,1,14,Card,14,325.0
2,7,13,1,15,Cash,24,-318.02
2,7,13,1,15,Card,11,-291.43
2,7,13,1,15,Card,38,507.99
2,7,13,1,16,Cash,20,-458.06
2,7,13,1,16,Card,1,-0.3
2,7,13,1,16,Card,28,121.75
2,7,13,1,17,Cash,9,-34.7
2,7,13,1,17,Card,4,366.0
2,7,13,1,18,Card,9,26.0
26,7,1,7,8,Card,2,-26.0
26,7,1,7,8,Card,8,117.75
26,7,1,7,9,Card,4,-39.8
26,7,1,7,9,Card,7,109.5
26,7,1,7,10,Cash,5,-37.3
26,7,1,7,10,Card,9,20.0
26,7,1,7,11,Card,13,76.75
26,7,1,7,12,Card,6,-76.1
26,7,1,7,12,Card,38,306.25
26,7,1,7,13,Cash,2,-113.0
26,7,1,7,13,Card,21,-126.2
26,7,1,7,13,Card,50,528.75
26,7,1,7,14,Cash,1,-49.0
26,7,1,7,14,Card,3,-8.1
26,7,1,7,14,Card,17,95.95
26,7,1,7,15,Cash,62,-73.99
26,7,1,7,15,Card,23,91.5
26,7,1,7,16,Card,1,-14.0
26,7,1,7,16,Card,10,44.0
26,7,1,7,17,Cash,1,-15.0
26,7,1,7,17,Card,10,39.5
27,1,2,7,10,Card,8,264.5
27,1,2,7,11,Card,10,96.5
27,1,2,7,12,Card,9,-185.0
27,1,2,7,12,Card,7,20.5
27,1,2,7,13,Card,11,168.75
27,1,2,7,14,Card,7,50.5
27,1,2,7,15,Cash,4,-33.0
27,1,2,7,15,Card,74,-198.6
27,1,2,7,15,Card,4,38.0
27,1,2,7,16,Cash,6,-116.0
27,1,2,7,16,Card,1,-13.0
27,1,2,7,16,Card,17,91.4
27,2,3,7,9,Cash,7,-4.3
27,2,3,7,9,Card,5,81.5
27,2,3,7,10,Card,1,3.5
27,2,3,7,11,Cash,3,-31.0
27,2,3,7,11,Card,4,24.5
27,2,3,7,12,Cash,23,-65.11
27,2,3,7,12,Card,7,-143.0
27,2,3,7,12,Card,10,30.74
27,2,3,7,13,Cash,49,-62.49
27,2,3,7,13,Card,8,98.0
27,2,3,7,14,Cash,4,-269.0
27,2,3,7,14,Card,1,-73.0
27,2,3,7,14,Card,13,271.25
27,2,3,7,15,Cash,9,-5.11
27,2,3,7,15,Card,17,392.49
27,2,3,7,16,Cash,2,-75.0
27,2,3,7,16,Card,14,270.0
27,2,3,7,17,Card,11,10.25
27,3,4,7,9,Card,3,-46.0
27,3,4,7,9,Card,4,63.0
27,3,4,7,10,Card,2,-9.0
27,3,4,7,10,Card,6,26.4
27,3,4,7,11,Cash,1,-8.0
27,3,4,7,11,Card,2,-3.4
27,3,4,7,11,Card,21,118.75
27,3,4,7,12,Cash,5,-54.0
27,3,4,7,12,Card,2,-15.0
27,3,4,7,12,Card,15,237.75
27,3,4,7,13,Cash,19,-91.63
27,3,4,7,13,Card,16,-19.7
27,3,4,7,13,Card,13,98.5
27,3,4,7,14,Cash,34,-58.33
27,3,4,7,14,Card,14,274.85
27,3,4,7,15,Cash,3,-79.0
27,3,4,7,15,Card,13,243.75
27,3,4,7,16,Cash,24,-98.73
27,3,4,7,16,Card,7,-40.8
27,3,4,7,16,Card,18,339.5
27,3,4,7,17,Cash,7,-71.33
27,3,4,7,17,Card,1,-20.0
27,3,4,7,17,Card,13,325.5
27,3,4,7,18,Card,2,1.75
27,4,5,7,8,Card,1,1.5
27,4,5,7,9,Cash,1,-18.0
27,4,5,7,9,Card,3,8.5
27,4,5,7,10,Cash,21,-10.11
27,4,5,7,10,Card,3,-38.0
27,4,5,7,10,Card,2,25.0
27,4,5,7,11,Cash,5,-297.0
27,4,5,7,11,Card,5,20.0
27,4,5,7,12,Card,9,116.75
27,4,5,7,13,Cash,1,-669.0
27,4,5,7,13,Card,18,148.74
27,4,5,7,14,Card,9,213.25
27,4,5,7,15,Card,28,84.5
27,4,5,7,16,Cash,18,-113.9
27,4,5,7,16,Card,3,7.5
27,4,5,7,17,Cash,3,-22.0
27,4,5,7,17,Card,3,-8.8
27,4,5,7,17,Card,9,49.0
27,5,6,7,8,Card,2,4.0
27,5,6,7,9,Cash,5,-95.6
27,5,6,7,9,Card,1,4.0
27,5,6,7,10,Card,2,-31.0
27,5,6,7,10,Card,8,68.5
27,5,6,7,11,Cash,3,-13.0
27,5,6,7,11,Card,35,-119.1
27,5,6,7,11,Card,26,189.5
27,5,6,7,12,Cash,5,-76.2
27,5,6,7,12,Card,2,220.0
27,5,6,7,13,Cash,10,-50.81
27,5,6,7,13,Card,14,127.0
27,5,6,7,14,Cash,185,-113.56
27,5,6,7,14,Card,2,-10.6
27,5,6,7,14,Card,19,103.75
27,5,6,7,15,Cash,2,-128.0
27,5,6,7,15,Card,8,46.5
27,5,6,7,16,Card,2,-30.0
27,5,6,7,16,Card,6,55.1
27,5,6,7,17,Card,3,49.0
27,5,6,7,18,Card,3,41.75
27,6,7,7,8,Card,2,2.0
27,6,7,7,9,Card,6,11.49
27,6,7,7,10,Cash,9,-33.1
27,6,7,7,10,Card,8,-62.6
27,6,7,7,10,Card,17,116.78
27,6,7,7,11,Card,14,94.75
27,6,7,7,12,Cash,19,-71.97
27,6,7,7,12,Card,1,-4.0
27,6,7,7,12,Card,8,64.5
27,6,7,7,13,Cash,6,-318.0
27,6,7,7,13,Card,140,-89.56
27,6,7,7,13,Card,21,235.0
27,6,7,7,14,Cash,26,-193.06
27,6,7,7,14,Card,1,-13.0
27,6,7,7,14,Card,18,47.23
27,6,7,7,15,Card,15,87.5
27,6,7,7,16,Card,10,89.99
27,6,7,7,17,Cash,3,-274.0
27,6,7,7,17,Card,4,-220.0
27,6,7,7,17,Card,8,259.0
27,7,8,7,9,Card,2,-50.0
27,7,8,7,9,Card,9,113.75
27,7,8,7,10,Cash,6,-12.61
27,7,8,7,10,Card,11,-47.33
27,7,8,7,10,Card,9,77.0
27,7,8,7,11,Cash,15,-100.02
27,7,8,7,11,Card,31,-12.98
27,7,8,7,11,Card,26,139.0
27,7,8,7,12,Cash,5,-83.4
27,7,8,7,12,Card,18,169.5
27,7,8,7,13,Cash,2,-113.0
27,7,8,7,13,Card,16,-57.5
27,7,8,7,13,Card,18,131.24
27,7,8,7,14,Cash,3,-139.0
27,7,8,7,14,Card,7,-60.0
27,7,8,7,14,Card,37,428.25
27,7,8,7,15,Cash,18,-21.53
27,7,8,7,15,Card,10,210.0
27,7,8,7,16,Cash,1,-63.0
27,7,8,7,16,Card,12,73.75
27,7,8,7,17,Card,2,-4.8
27,7,8,7,17,Card,13,96.5
28,1,9,7,9,Cash,13,-25.0
28,1,9,7,9,Card,76,-237.4
28,1,9,7,9,Card,9,73.75
28,1,9,7,10,Card,2,89.0
28,1,9,7,11,Cash,7,-208.0
28,1,9,7,11,Card,128,-275.62
28,1,9,7,11,Card,19,141.0
28,1,9,7,12,Cash,7,-92.0
28,1,9,7,12,Card,1,-10.0
28,1,9,7,12,Card,15,149.49
28,1,9,7,13,Cash,1,-5.0
28,1,9,7,13,Card,11,51.75
28,1,9,7,14,Card,1,-1.4
28,1,9,7,14,Card,10,38.0
28,1,9,7,15,Cash,2,-21.0
28,1,9,7,15,Card,30,-105.0
28,1,9,7,15,Card,6,7.0
28,1,9,7,16,Cash,1,-19.0
28,1,9,7,16,Card,4,4.0
28,1,9,7,17,Cash,2,-31.0
28,2,10,7,8,Card,1,40.0
28,2,10,7,9,Cash,2,-10.0
28,2,10,7,9,Card,1,-2.0
28,2,10,7,9,Card,6,48.1
28,2,10,7,10,Cash,45,-26.66
28,2,10,7,10,Card,57,-52.5
28,2,10,7,10,Card,4,53.0
28,2,10,7,11,Card,13,262.0
28,2,10,7,12,Cash,2,-15.0
28,2,10,7,12,Card,1,-13.0
28,2,10,7,12,Card,29,208.42
28,2,10,7,13,Cash,86,-33.01
28,2,10,7,13,Card,14,118.0
28,2,10,7,14,Card,12,133.75
28,2,10,7,15,Card,1,-3.0
28,2,10,7,15,Card,18,268.75
28,2,10,7,16,Cash,6,-100.0
28,2,10,7,16,Card,1,-5.0
28,2,10,7,16,Card,9,187.18
28,2,10,7,17,Card,5,23.25
28,3,11,7,10,Cash,21,-25.92
28,3,11,7,10,Card,4,9.0
28,3,11,7,11,Cash,4,-109.0
28,3,11,7,11,Card,56,-190.3
28,3,11,7,11,Card,16,417.75
28,3,11,7,12,Cash,1,-21.0
28,3,11,7,12,Card,1,-18.0
28,3,11,7,12,Card,9,179.5
28,3,11,7,13,Cash,8,-131.01
28,3,11,7,13,Card,4,-0.13
28,3,11,7,13,Card,17,71.5
28,3,11,7,14,Cash,3,-163.0
28,3,11,7,14,Card,4,-3.4
28,3,11,7,14,Card,16,128.25
28,3,11,7,15,Cash,1,-104.0
28,3,11,7,15,Card,30,99.0
28,3,11,7,16,Card,9,99.25
28,3,11,7,17,Card,2,22.0
28,4,12,7,8,Card,3,-28.0
28,4,12,7,8,Card,5,167.49
28,4,12,7,9,Cash,7,-36.9
28,4,12,7,9,Card,2,-82.0
28,4,12,7,9,Card,5,180.1
28,4,12,7,10,Cash,4,-32.01
28,4,12,7,10,Card,15,155.5
28,4,12,7,11,Card,10,96.5
28,4,12,7,12,Card,21,-7.57
28,4,12,7,12,Card,16,99.5
28,4,12,7,13,Cash,14,-21.21
28,4,12,7,13,Card,4,47.5
28,4,12,7,14,Cash,15,-34.94
